,META,,GOOGL,,AMZN,,PYPL,,TXRH,,AMD,,ASML,,TSLA,,VTI,,ADBE,,CRM,,NKE,,DUOL,,NICE,,NVO,,CELH,,COUR,,DBX,,SMLR,,OLPX,,TTCFQ,,CRSR,,CRCT,,RVLV,,TIXT,,SWKS,,BABA,,WIX,
,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close
,1/2/2020 16:00:00,209.78,1/2/2020 16:00:00,68.43,1/2/2020 16:00:00,94.9,1/2/2020 16:00:00,110.75,1/2/2020 16:00:00,56.24,1/2/2020 16:00:00,49.1,1/2/2020 16:00:00,302.83,1/2/2020 16:00:00,28.68,1/2/2020 16:00:00,164.98,1/2/2020 16:00:00,334.43,1/2/2020 16:00:00,166.99,1/2/2020 16:00:00,102.2,7/28/2021 16:00:00,139.01,1/2/2020 16:00:00,158.62,1/2/2020 16:00:00,29.18,1/2/2020 16:00:00,1.58,3/31/2021 16:00:00,45,1/2/2020 16:00:00,18.09,1/2/2020 16:00:00,48,9/30/2021 16:00:00,24.5,1/6/2020 16:00:00,10.25,9/23/2020 16:00:00,14.25,3/25/2021 16:00:00,17.8,1/2/2020 16:00:00,18.39,2/3/2021 16:00:00,30.4,1/2/2020 16:00:00,121.67,1/2/2020 16:00:00,219.77,1/2/2020 16:00:00,127.55
,1/3/2020 16:00:00,208.67,1/3/2020 16:00:00,68.08,1/3/2020 16:00:00,93.75,1/3/2020 16:00:00,108.76,1/3/2020 16:00:00,56.07,1/3/2020 16:00:00,48.6,1/3/2020 16:00:00,297.95,1/3/2020 16:00:00,29.53,1/3/2020 16:00:00,163.93,1/3/2020 16:00:00,331.81,1/3/2020 16:00:00,166.17,1/3/2020 16:00:00,101.92,7/29/2021 16:00:00,134.44,1/3/2020 16:00:00,158,1/3/2020 16:00:00,28.56,1/3/2020 16:00:00,1.55,4/1/2021 16:00:00,45.78,1/3/2020 16:00:00,18,1/3/2020 16:00:00,48,10/1/2021 16:00:00,22.9,1/7/2020 16:00:00,10.24,9/24/2020 16:00:00,15.58,3/26/2021 16:00:00,18,1/3/2020 16:00:00,18.89,2/4/2021 16:00:00,30.65,1/3/2020 16:00:00,118.65,1/3/2020 16:00:00,217,1/3/2020 16:00:00,128.92
,1/6/2020 16:00:00,212.6,1/6/2020 16:00:00,69.89,1/6/2020 16:00:00,95.14,1/6/2020 16:00:00,110.17,1/6/2020 16:00:00,56.07,1/6/2020 16:00:00,48.39,1/6/2020 16:00:00,295.58,1/6/2020 16:00:00,30.1,1/6/2020 16:00:00,164.49,1/6/2020 16:00:00,333.71,1/6/2020 16:00:00,173.45,1/6/2020 16:00:00,101.83,7/30/2021 16:00:00,140.25,1/6/2020 16:00:00,159.69,1/6/2020 16:00:00,28.51,1/6/2020 16:00:00,1.51,4/5/2021 16:00:00,49.61,1/6/2020 16:00:00,18.53,1/6/2020 16:00:00,47.5,10/4/2021 16:00:00,23.8,1/14/2020 16:00:00,10.24,9/25/2020 16:00:00,17.25,3/29/2021 16:00:00,18.11,1/6/2020 16:00:00,19.09,2/5/2021 16:00:00,31.58,1/6/2020 16:00:00,116.56,1/6/2020 16:00:00,216.64,1/6/2020 16:00:00,131.63
,1/7/2020 16:00:00,213.06,1/7/2020 16:00:00,69.76,1/7/2020 16:00:00,95.34,1/7/2020 16:00:00,109.67,1/7/2020 16:00:00,55.98,1/7/2020 16:00:00,48.25,1/7/2020 16:00:00,298.79,1/7/2020 16:00:00,31.27,1/7/2020 16:00:00,164.1,1/7/2020 16:00:00,333.39,1/7/2020 16:00:00,176,1/7/2020 16:00:00,101.78,8/2/2021 16:00:00,143.8,1/7/2020 16:00:00,159.65,1/7/2020 16:00:00,28.48,1/7/2020 16:00:00,1.42,4/6/2021 16:00:00,56.23,1/7/2020 16:00:00,18.53,1/7/2020 16:00:00,49,10/5/2021 16:00:00,26.29,1/15/2020 16:00:00,10.24,9/28/2020 16:00:00,18.47,3/30/2021 16:00:00,18.76,1/7/2020 16:00:00,19.41,2/8/2021 16:00:00,31.62,1/7/2020 16:00:00,117.67,1/7/2020 16:00:00,217.63,1/7/2020 16:00:00,130.01
,1/8/2020 16:00:00,215.22,1/8/2020 16:00:00,70.25,1/8/2020 16:00:00,94.6,1/8/2020 16:00:00,111.82,1/8/2020 16:00:00,55.8,1/8/2020 16:00:00,47.83,1/8/2020 16:00:00,301.89,1/8/2020 16:00:00,32.81,1/8/2020 16:00:00,164.91,1/8/2020 16:00:00,337.87,1/8/2020 16:00:00,177.33,1/8/2020 16:00:00,101.55,8/3/2021 16:00:00,139.86,1/8/2020 16:00:00,163.59,1/8/2020 16:00:00,28.43,1/8/2020 16:00:00,1.46,4/7/2021 16:00:00,58,1/8/2020 16:00:00,18.46,1/8/2020 16:00:00,49.7,10/6/2021 16:00:00,25.03,1/16/2020 16:00:00,10.3,9/29/2020 16:00:00,18.78,3/31/2021 16:00:00,19.79,1/8/2020 16:00:00,19.24,2/9/2021 16:00:00,30.76,1/8/2020 16:00:00,119.54,1/8/2020 16:00:00,218,1/8/2020 16:00:00,133.78
,1/9/2020 16:00:00,218.3,1/9/2020 16:00:00,70.99,1/9/2020 16:00:00,95.05,1/9/2020 16:00:00,112.57,1/9/2020 16:00:00,55.85,1/9/2020 16:00:00,48.97,1/9/2020 16:00:00,301.38,1/9/2020 16:00:00,32.09,1/9/2020 16:00:00,165.94,1/9/2020 16:00:00,340.45,1/9/2020 16:00:00,179.6,1/9/2020 16:00:00,101.48,8/4/2021 16:00:00,141.5,1/9/2020 16:00:00,162.96,1/9/2020 16:00:00,28.72,1/9/2020 16:00:00,1.56,4/8/2021 16:00:00,56,1/9/2020 16:00:00,18.37,1/9/2020 16:00:00,49.7,10/7/2021 16:00:00,25.2,1/17/2020 16:00:00,10.3,9/30/2020 16:00:00,20.1,4/1/2021 16:00:00,20,1/9/2020 16:00:00,20,2/10/2021 16:00:00,30.56,1/9/2020 16:00:00,119.65,1/9/2020 16:00:00,221.78,1/9/2020 16:00:00,140.08
,1/10/2020 16:00:00,218.06,1/10/2020 16:00:00,71.45,1/10/2020 16:00:00,94.16,1/10/2020 16:00:00,112.93,1/10/2020 16:00:00,55.97,1/10/2020 16:00:00,48.17,1/10/2020 16:00:00,296.18,1/10/2020 16:00:00,31.88,1/10/2020 16:00:00,165.46,1/10/2020 16:00:00,339.81,1/10/2020 16:00:00,180.2,1/10/2020 16:00:00,100.9,8/5/2021 16:00:00,146,1/10/2020 16:00:00,162.16,1/10/2020 16:00:00,29.34,1/10/2020 16:00:00,1.54,4/9/2021 16:00:00,53.65,1/10/2020 16:00:00,17.82,1/10/2020 16:00:00,52,10/8/2021 16:00:00,25.51,1/21/2020 16:00:00,10.31,10/1/2020 16:00:00,20.95,4/5/2021 16:00:00,19.7,1/10/2020 16:00:00,19.09,2/11/2021 16:00:00,30.58,1/10/2020 16:00:00,120.08,1/10/2020 16:00:00,223.83,1/10/2020 16:00:00,140.26
,1/13/2020 16:00:00,221.91,1/13/2020 16:00:00,72,1/13/2020 16:00:00,94.57,1/13/2020 16:00:00,115.28,1/13/2020 16:00:00,57.22,1/13/2020 16:00:00,48.75,1/13/2020 16:00:00,301.45,1/13/2020 16:00:00,34.99,1/13/2020 16:00:00,166.59,1/13/2020 16:00:00,345.63,1/13/2020 16:00:00,183.85,1/13/2020 16:00:00,102.16,8/6/2021 16:00:00,134.38,1/13/2020 16:00:00,164.3,1/13/2020 16:00:00,29.49,1/13/2020 16:00:00,1.6,4/12/2021 16:00:00,51.38,1/13/2020 16:00:00,17.86,1/13/2020 16:00:00,50,10/11/2021 16:00:00,25.09,1/22/2020 16:00:00,10.3,10/2/2020 16:00:00,20.9,4/6/2021 16:00:00,19.99,1/13/2020 16:00:00,19.32,2/12/2021 16:00:00,30.89,1/13/2020 16:00:00,124.51,1/13/2020 16:00:00,230.48,1/13/2020 16:00:00,142.43
,1/14/2020 16:00:00,219.06,1/14/2020 16:00:00,71.53,1/14/2020 16:00:00,93.47,1/14/2020 16:00:00,114.64,1/14/2020 16:00:00,56.7,1/14/2020 16:00:00,48.21,1/14/2020 16:00:00,302.55,1/14/2020 16:00:00,35.86,1/14/2020 16:00:00,166.5,1/14/2020 16:00:00,344.63,1/14/2020 16:00:00,182.12,1/14/2020 16:00:00,102.92,8/9/2021 16:00:00,138.25,1/14/2020 16:00:00,162.98,1/14/2020 16:00:00,29.79,1/14/2020 16:00:00,1.6,4/13/2021 16:00:00,51.35,1/14/2020 16:00:00,18.01,1/14/2020 16:00:00,49.15,10/12/2021 16:00:00,25.32,1/23/2020 16:00:00,10.32,10/5/2020 16:00:00,20.03,4/7/2021 16:00:00,20.01,1/14/2020 16:00:00,20.64,2/16/2021 16:00:00,31.28,1/14/2020 16:00:00,123.34,1/14/2020 16:00:00,226.49,1/14/2020 16:00:00,142.74
,1/15/2020 16:00:00,221.15,1/15/2020 16:00:00,71.96,1/15/2020 16:00:00,93.1,1/15/2020 16:00:00,114.85,1/15/2020 16:00:00,56.01,1/15/2020 16:00:00,48.55,1/15/2020 16:00:00,300.08,1/15/2020 16:00:00,34.57,1/15/2020 16:00:00,166.91,1/15/2020 16:00:00,342.94,1/15/2020 16:00:00,181.06,1/15/2020 16:00:00,102.79,8/10/2021 16:00:00,140,1/15/2020 16:00:00,165.47,1/15/2020 16:00:00,31.2,1/15/2020 16:00:00,1.61,4/14/2021 16:00:00,48.58,1/15/2020 16:00:00,18.31,1/15/2020 16:00:00,50,10/13/2021 16:00:00,25.16,1/24/2020 16:00:00,10.31,10/6/2020 16:00:00,18.29,4/8/2021 16:00:00,20.01,1/15/2020 16:00:00,20.41,2/17/2021 16:00:00,30.88,1/15/2020 16:00:00,120.42,1/15/2020 16:00:00,225.06,1/15/2020 16:00:00,141.97
,1/16/2020 16:00:00,221.77,1/16/2020 16:00:00,72.51,1/16/2020 16:00:00,93.9,1/16/2020 16:00:00,115.4,1/16/2020 16:00:00,56.85,1/16/2020 16:00:00,49.77,1/16/2020 16:00:00,301.08,1/16/2020 16:00:00,34.23,1/16/2020 16:00:00,168.34,1/16/2020 16:00:00,345.38,1/16/2020 16:00:00,182.69,1/16/2020 16:00:00,103.37,8/11/2021 16:00:00,135.96,1/16/2020 16:00:00,176.27,1/16/2020 16:00:00,30.66,1/16/2020 16:00:00,1.68,4/15/2021 16:00:00,47.45,1/16/2020 16:00:00,18,1/16/2020 16:00:00,50,10/14/2021 16:00:00,24.41,1/27/2020 16:00:00,10.3,10/7/2020 16:00:00,19.11,4/9/2021 16:00:00,20,1/16/2020 16:00:00,20.69,2/18/2021 16:00:00,30.78,1/16/2020 16:00:00,123.09,1/16/2020 16:00:00,223.94,1/16/2020 16:00:00,142.67
,1/17/2020 16:00:00,222.14,1/17/2020 16:00:00,73.98,1/17/2020 16:00:00,93.24,1/17/2020 16:00:00,116.04,1/17/2020 16:00:00,57.8,1/17/2020 16:00:00,50.93,1/17/2020 16:00:00,300.04,1/17/2020 16:00:00,34.03,1/17/2020 16:00:00,168.76,1/17/2020 16:00:00,349.74,1/17/2020 16:00:00,182.23,1/17/2020 16:00:00,104.53,8/12/2021 16:00:00,133.8,1/17/2020 16:00:00,175.77,1/17/2020 16:00:00,30.66,1/17/2020 16:00:00,1.75,4/16/2021 16:00:00,45.98,1/17/2020 16:00:00,18.02,1/17/2020 16:00:00,50,10/15/2021 16:00:00,24.85,1/28/2020 16:00:00,10.28,10/8/2020 16:00:00,18.37,4/12/2021 16:00:00,19.85,1/17/2020 16:00:00,20.88,2/19/2021 16:00:00,31.14,1/17/2020 16:00:00,124.17,1/17/2020 16:00:00,227.43,1/17/2020 16:00:00,140.27
,1/21/2020 16:00:00,221.44,1/21/2020 16:00:00,74.11,1/21/2020 16:00:00,94.6,1/21/2020 16:00:00,116.15,1/21/2020 16:00:00,58.27,1/21/2020 16:00:00,51.05,1/21/2020 16:00:00,298.4,1/21/2020 16:00:00,36.48,1/21/2020 16:00:00,168.4,1/21/2020 16:00:00,350,1/21/2020 16:00:00,185.27,1/21/2020 16:00:00,104.58,8/13/2021 16:00:00,136.63,1/21/2020 16:00:00,177.11,1/21/2020 16:00:00,30.57,1/21/2020 16:00:00,1.91,4/19/2021 16:00:00,42.08,1/21/2020 16:00:00,17.64,1/21/2020 16:00:00,50,10/18/2021 16:00:00,24.77,1/29/2020 16:00:00,10.34,10/9/2020 16:00:00,18.11,4/13/2021 16:00:00,19.98,1/21/2020 16:00:00,20.35,2/22/2021 16:00:00,30.88,1/21/2020 16:00:00,123.8,1/21/2020 16:00:00,222.26,1/21/2020 16:00:00,140.38
,1/22/2020 16:00:00,221.32,1/22/2020 16:00:00,74.21,1/22/2020 16:00:00,94.37,1/22/2020 16:00:00,115.5,1/22/2020 16:00:00,59.55,1/22/2020 16:00:00,51.43,1/22/2020 16:00:00,296.25,1/22/2020 16:00:00,37.97,1/22/2020 16:00:00,168.5,1/22/2020 16:00:00,350.06,1/22/2020 16:00:00,182.75,1/22/2020 16:00:00,104.49,8/16/2021 16:00:00,135,1/22/2020 16:00:00,179.45,1/22/2020 16:00:00,30.66,1/22/2020 16:00:00,1.92,4/20/2021 16:00:00,41,1/22/2020 16:00:00,17.53,1/22/2020 16:00:00,50,10/19/2021 16:00:00,25.91,1/30/2020 16:00:00,10.34,10/12/2020 16:00:00,18.57,4/14/2021 16:00:00,20.02,1/22/2020 16:00:00,18.98,2/23/2021 16:00:00,30.11,1/22/2020 16:00:00,124.9,1/22/2020 16:00:00,222.37,1/22/2020 16:00:00,140.01
,1/23/2020 16:00:00,219.76,1/23/2020 16:00:00,74.23,1/23/2020 16:00:00,94.23,1/23/2020 16:00:00,117.89,1/23/2020 16:00:00,61.22,1/23/2020 16:00:00,51.71,1/23/2020 16:00:00,294.32,1/23/2020 16:00:00,38.15,1/23/2020 16:00:00,168.69,1/23/2020 16:00:00,351.76,1/23/2020 16:00:00,183.98,1/23/2020 16:00:00,103.02,8/17/2021 16:00:00,133.48,1/23/2020 16:00:00,178.47,1/23/2020 16:00:00,30.8,1/23/2020 16:00:00,2,4/21/2021 16:00:00,41.86,1/23/2020 16:00:00,17.71,1/23/2020 16:00:00,50.02,10/20/2021 16:00:00,26.5,1/31/2020 16:00:00,10.34,10/13/2020 16:00:00,18.56,4/15/2021 16:00:00,20,1/23/2020 16:00:00,17.95,2/24/2021 16:00:00,30.1,1/23/2020 16:00:00,128.19,1/23/2020 16:00:00,219.13,1/23/2020 16:00:00,140.41
,1/24/2020 16:00:00,217.94,1/24/2020 16:00:00,73.31,1/24/2020 16:00:00,93.08,1/24/2020 16:00:00,116.98,1/24/2020 16:00:00,62.13,1/24/2020 16:00:00,50.35,1/24/2020 16:00:00,295.83,1/24/2020 16:00:00,37.65,1/24/2020 16:00:00,167.09,1/24/2020 16:00:00,351.37,1/24/2020 16:00:00,182.11,1/24/2020 16:00:00,102.03,8/18/2021 16:00:00,131.5,1/24/2020 16:00:00,177.04,1/24/2020 16:00:00,30.54,1/24/2020 16:00:00,2.02,4/22/2021 16:00:00,44.16,1/24/2020 16:00:00,17.34,1/24/2020 16:00:00,50.02,10/21/2021 16:00:00,28.57,2/3/2020 16:00:00,10.33,10/14/2020 16:00:00,18.79,4/16/2021 16:00:00,20,1/24/2020 16:00:00,17.64,2/25/2021 16:00:00,29,1/24/2020 16:00:00,122.31,1/24/2020 16:00:00,213.75,1/24/2020 16:00:00,141.03
,1/27/2020 16:00:00,214.87,1/27/2020 16:00:00,71.59,1/27/2020 16:00:00,91.42,1/27/2020 16:00:00,115.24,1/27/2020 16:00:00,62.25,1/27/2020 16:00:00,49.26,1/27/2020 16:00:00,284.28,1/27/2020 16:00:00,37.2,1/27/2020 16:00:00,164.58,1/27/2020 16:00:00,346.9,1/27/2020 16:00:00,180.71,1/27/2020 16:00:00,100.24,8/19/2021 16:00:00,126.16,1/27/2020 16:00:00,171.68,1/27/2020 16:00:00,29.98,1/27/2020 16:00:00,1.99,4/23/2021 16:00:00,46.37,1/27/2020 16:00:00,16.95,1/27/2020 16:00:00,49,10/22/2021 16:00:00,29,2/4/2020 16:00:00,10.33,10/15/2020 16:00:00,18.41,4/19/2021 16:00:00,23.34,1/27/2020 16:00:00,17.65,2/26/2021 16:00:00,29.13,1/27/2020 16:00:00,116.88,1/27/2020 16:00:00,205.47,1/27/2020 16:00:00,139.63
,1/28/2020 16:00:00,217.79,1/28/2020 16:00:00,72.53,1/28/2020 16:00:00,92.66,1/28/2020 16:00:00,116.52,1/28/2020 16:00:00,63.1,1/28/2020 16:00:00,50.53,1/28/2020 16:00:00,290.18,1/28/2020 16:00:00,37.79,1/28/2020 16:00:00,166.17,1/28/2020 16:00:00,354.63,1/28/2020 16:00:00,182.85,1/28/2020 16:00:00,100.41,8/20/2021 16:00:00,126.03,1/28/2020 16:00:00,171.71,1/28/2020 16:00:00,30.17,1/28/2020 16:00:00,1.92,4/26/2021 16:00:00,47.75,1/28/2020 16:00:00,17.14,1/28/2020 16:00:00,50,10/25/2021 16:00:00,28.21,2/5/2020 16:00:00,10.33,10/16/2020 16:00:00,19.2,4/20/2021 16:00:00,20.35,1/28/2020 16:00:00,18.12,3/1/2021 16:00:00,29.11,1/28/2020 16:00:00,119.79,1/28/2020 16:00:00,210.23,1/28/2020 16:00:00,142.8
,1/29/2020 16:00:00,223.23,1/29/2020 16:00:00,72.83,1/29/2020 16:00:00,92.9,1/29/2020 16:00:00,116.66,1/29/2020 16:00:00,63.46,1/29/2020 16:00:00,47.51,1/29/2020 16:00:00,296.14,1/29/2020 16:00:00,38.73,1/29/2020 16:00:00,166.06,1/29/2020 16:00:00,351.66,1/29/2020 16:00:00,181.77,1/29/2020 16:00:00,99.84,8/23/2021 16:00:00,124.01,1/29/2020 16:00:00,172.9,1/29/2020 16:00:00,30.34,1/29/2020 16:00:00,1.86,4/27/2021 16:00:00,46.64,1/29/2020 16:00:00,16.95,1/29/2020 16:00:00,50,10/26/2021 16:00:00,27.56,2/6/2020 16:00:00,10.32,10/19/2020 16:00:00,20.06,4/21/2021 16:00:00,21.15,1/29/2020 16:00:00,18.18,3/2/2021 16:00:00,29.09,1/29/2020 16:00:00,117.89,1/29/2020 16:00:00,212.02,1/29/2020 16:00:00,143.4
,1/30/2020 16:00:00,209.53,1/30/2020 16:00:00,72.71,1/30/2020 16:00:00,93.53,1/30/2020 16:00:00,117.12,1/30/2020 16:00:00,62.97,1/30/2020 16:00:00,48.78,1/30/2020 16:00:00,294.38,1/30/2020 16:00:00,42.72,1/30/2020 16:00:00,166.46,1/30/2020 16:00:00,356.74,1/30/2020 16:00:00,185.67,1/30/2020 16:00:00,98.19,8/24/2021 16:00:00,127.16,1/30/2020 16:00:00,173.28,1/30/2020 16:00:00,30.44,1/30/2020 16:00:00,1.86,4/28/2021 16:00:00,45.4,1/30/2020 16:00:00,17.01,1/30/2020 16:00:00,48.95,10/27/2021 16:00:00,26.46,2/7/2020 16:00:00,10.34,10/20/2020 16:00:00,22.97,4/22/2021 16:00:00,22.96,1/30/2020 16:00:00,17.99,3/3/2021 16:00:00,28.47,1/30/2020 16:00:00,116.23,1/30/2020 16:00:00,208.58,1/30/2020 16:00:00,144.91
,1/31/2020 16:00:00,201.91,1/31/2020 16:00:00,71.64,1/31/2020 16:00:00,100.44,1/31/2020 16:00:00,113.89,1/31/2020 16:00:00,62.5,1/31/2020 16:00:00,47,1/31/2020 16:00:00,280.66,1/31/2020 16:00:00,43.37,1/31/2020 16:00:00,163.52,1/31/2020 16:00:00,351.14,1/31/2020 16:00:00,182.31,1/31/2020 16:00:00,96.3,8/25/2021 16:00:00,127.33,1/31/2020 16:00:00,172.3,1/31/2020 16:00:00,30.42,1/31/2020 16:00:00,1.8,4/29/2021 16:00:00,45.15,1/31/2020 16:00:00,17.02,1/31/2020 16:00:00,47.5,10/28/2021 16:00:00,26.18,2/10/2020 16:00:00,10.33,10/21/2020 16:00:00,24.64,4/23/2021 16:00:00,22.96,1/31/2020 16:00:00,17.79,3/4/2021 16:00:00,27.74,1/31/2020 16:00:00,113.15,1/31/2020 16:00:00,206.59,1/31/2020 16:00:00,142.69
,2/3/2020 16:00:00,204.19,2/3/2020 16:00:00,74.13,2/3/2020 16:00:00,100.21,2/3/2020 16:00:00,116.51,2/3/2020 16:00:00,62.77,2/3/2020 16:00:00,48.02,2/3/2020 16:00:00,288.16,2/3/2020 16:00:00,52,2/3/2020 16:00:00,164.96,2/3/2020 16:00:00,358,2/3/2020 16:00:00,185.42,2/3/2020 16:00:00,99.27,8/26/2021 16:00:00,120,2/3/2020 16:00:00,172.77,2/3/2020 16:00:00,30.48,2/3/2020 16:00:00,1.87,4/30/2021 16:00:00,44.7,2/3/2020 16:00:00,16.91,2/3/2020 16:00:00,48.17,10/29/2021 16:00:00,27.91,2/11/2020 16:00:00,10.36,10/22/2020 16:00:00,24.02,4/26/2021 16:00:00,23.95,2/3/2020 16:00:00,17.42,3/5/2021 16:00:00,28.8,2/3/2020 16:00:00,115.03,2/3/2020 16:00:00,213.1,2/3/2020 16:00:00,145.21
,2/4/2020 16:00:00,209.83,2/4/2020 16:00:00,72.27,2/4/2020 16:00:00,102.48,2/4/2020 16:00:00,120.08,2/4/2020 16:00:00,63.22,2/4/2020 16:00:00,49.45,2/4/2020 16:00:00,299.23,2/4/2020 16:00:00,59.14,2/4/2020 16:00:00,167.56,2/4/2020 16:00:00,366.74,2/4/2020 16:00:00,188.34,2/4/2020 16:00:00,101.38,8/27/2021 16:00:00,120.1,2/4/2020 16:00:00,174.39,2/4/2020 16:00:00,30.8,2/4/2020 16:00:00,1.85,5/3/2021 16:00:00,46.11,2/4/2020 16:00:00,17.1,2/4/2020 16:00:00,49,11/1/2021 16:00:00,28.67,2/12/2020 16:00:00,10.4,10/23/2020 16:00:00,24.67,4/27/2021 16:00:00,25.43,2/4/2020 16:00:00,17.17,3/8/2021 16:00:00,28.94,2/4/2020 16:00:00,117.96,2/4/2020 16:00:00,222.88,2/4/2020 16:00:00,148.28
,2/5/2020 16:00:00,210.11,2/5/2020 16:00:00,72.3,2/5/2020 16:00:00,101.99,2/5/2020 16:00:00,119.72,2/5/2020 16:00:00,63.6,2/5/2020 16:00:00,49.84,2/5/2020 16:00:00,306.32,2/5/2020 16:00:00,48.98,2/5/2020 16:00:00,169.21,2/5/2020 16:00:00,365.55,2/5/2020 16:00:00,185.49,2/5/2020 16:00:00,100.54,8/30/2021 16:00:00,128.7,2/5/2020 16:00:00,172.26,2/5/2020 16:00:00,32.21,2/5/2020 16:00:00,1.9,5/4/2021 16:00:00,45.65,2/5/2020 16:00:00,17.61,2/5/2020 16:00:00,49.99,11/2/2021 16:00:00,27.86,2/13/2020 16:00:00,10.35,10/26/2020 16:00:00,24.48,4/28/2021 16:00:00,26.05,2/5/2020 16:00:00,17.87,3/9/2021 16:00:00,28.81,2/5/2020 16:00:00,119.64,2/5/2020 16:00:00,220.22,2/5/2020 16:00:00,145.5
,2/6/2020 16:00:00,210.85,2/6/2020 16:00:00,73.8,2/6/2020 16:00:00,102.51,2/6/2020 16:00:00,119.89,2/6/2020 16:00:00,63.72,2/6/2020 16:00:00,49.32,2/6/2020 16:00:00,309.55,2/6/2020 16:00:00,49.93,2/6/2020 16:00:00,169.68,2/6/2020 16:00:00,367.46,2/6/2020 16:00:00,186.73,2/6/2020 16:00:00,100.27,8/31/2021 16:00:00,129.56,2/6/2020 16:00:00,174.62,2/6/2020 16:00:00,32.34,2/6/2020 16:00:00,1.92,5/5/2021 16:00:00,42.01,2/6/2020 16:00:00,18.26,2/6/2020 16:00:00,50,11/3/2021 16:00:00,28.52,2/14/2020 16:00:00,10.33,10/27/2020 16:00:00,25.79,4/29/2021 16:00:00,25.5,2/6/2020 16:00:00,18.51,3/10/2021 16:00:00,28,2/6/2020 16:00:00,117.68,2/6/2020 16:00:00,220.9,2/6/2020 16:00:00,147.07
,2/7/2020 16:00:00,212.33,2/7/2020 16:00:00,73.96,2/7/2020 16:00:00,103.96,2/7/2020 16:00:00,118.88,2/7/2020 16:00:00,63.58,2/7/2020 16:00:00,49.73,2/7/2020 16:00:00,304.97,2/7/2020 16:00:00,49.87,2/7/2020 16:00:00,168.71,2/7/2020 16:00:00,366.09,2/7/2020 16:00:00,185.72,2/7/2020 16:00:00,99.44,9/1/2021 16:00:00,137.48,2/7/2020 16:00:00,173.8,2/7/2020 16:00:00,31.63,2/7/2020 16:00:00,1.9,5/6/2021 16:00:00,38.98,2/7/2020 16:00:00,18.1,2/7/2020 16:00:00,50.05,11/4/2021 16:00:00,28.9,2/18/2020 16:00:00,10.35,10/28/2020 16:00:00,25.08,4/30/2021 16:00:00,26.5,2/7/2020 16:00:00,18.11,3/11/2021 16:00:00,29.19,2/7/2020 16:00:00,113.94,2/7/2020 16:00:00,216.53,2/7/2020 16:00:00,145.05
,2/10/2020 16:00:00,213.06,2/10/2020 16:00:00,75.43,2/10/2020 16:00:00,106.7,2/10/2020 16:00:00,120.06,2/10/2020 16:00:00,63.63,2/10/2020 16:00:00,52.26,2/10/2020 16:00:00,309.68,2/10/2020 16:00:00,51.42,2/10/2020 16:00:00,169.95,2/10/2020 16:00:00,370,2/10/2020 16:00:00,189.12,2/10/2020 16:00:00,100.02,9/2/2021 16:00:00,152.09,2/10/2020 16:00:00,174.49,2/10/2020 16:00:00,31.82,2/10/2020 16:00:00,1.95,5/7/2021 16:00:00,36.14,2/10/2020 16:00:00,18.53,2/10/2020 16:00:00,50.8,11/5/2021 16:00:00,27.03,2/20/2020 16:00:00,10.35,10/29/2020 16:00:00,24.8,5/3/2021 16:00:00,26.05,2/10/2020 16:00:00,18.35,3/12/2021 16:00:00,28.86,2/10/2020 16:00:00,116.28,2/10/2020 16:00:00,215.77,2/10/2020 16:00:00,145.8
,2/11/2020 16:00:00,207.19,2/11/2020 16:00:00,75.5,2/11/2020 16:00:00,107.54,2/11/2020 16:00:00,118.84,2/11/2020 16:00:00,64.05,2/11/2020 16:00:00,53.8,2/11/2020 16:00:00,316.01,2/11/2020 16:00:00,51.63,2/11/2020 16:00:00,170.42,2/11/2020 16:00:00,369.28,2/11/2020 16:00:00,189.11,2/11/2020 16:00:00,100.02,9/3/2021 16:00:00,163.06,2/11/2020 16:00:00,174.64,2/11/2020 16:00:00,31.55,2/11/2020 16:00:00,1.97,5/10/2021 16:00:00,34.8,2/11/2020 16:00:00,18.6,2/11/2020 16:00:00,51.29,11/8/2021 16:00:00,28.21,2/21/2020 16:00:00,10.35,10/30/2020 16:00:00,24.04,5/4/2021 16:00:00,25.27,2/11/2020 16:00:00,18.9,3/15/2021 16:00:00,28.63,2/11/2020 16:00:00,119.17,2/11/2020 16:00:00,217.21,2/11/2020 16:00:00,144.32
